Dataset,Kmer Length,Program,Threads,Time (Seconds),time-dev,RAM (M),ram-dev,Disk (M),disk-dev
5genome-fna,4,mercat2,1,4.07,0.06066300355241228,268.928,0.32767789061819896,19.848,0.0
5genome-fna,4,mercat2,4,2.0140000000000002,0.028705400188814685,268.8864,0.40740819824838714,19.848,0.0
5genome-fna,4,mercat2,8,2.004,0.02332380757938114,268.7288,0.42847002228860526,19.848,0.0
5genome-fna,31,mercat2,1,11.154,0.06974238309665054,265.78959999999995,0.5357468058700843,19.728,0.0
5genome-fna,31,mercat2,4,5.41,0.020000000000000104,265.65520000000004,0.8129015684570942,19.728,0.0
5genome-fna,31,mercat2,8,5.372,0.023151673805580586,265.9776,0.5383863296927232,19.728,0.0
5genome-fna,4,kmc,1,0.10093,0.01235835542457005,60.8064,1.4154792262693212,0.0,0.0
5genome-fna,4,kmc,4,0.10137559999999998,0.005693566460488542,60.2528,0.0015999999999991132,0.0,0.0
5genome-fna,4,kmc,8,0.1065912,0.009459676831689336,60.9856,1.4052008539707055,0.0,0.0
5genome-fna,31,kmc,1,1.95627,0.10899186079703381,338.6816,0.016511813952437556,18.0,0.0
5genome-fna,31,kmc,4,0.7286036,0.027824174414346977,338.2592,1.5237078985159958,18.0,0.0
5genome-fna,31,kmc,8,0.5450874,0.025289717448797253,334.212,10.408058108984582,18.0,0.0
5genome-fna,4,jellyfish,1,0.726,0.02059126028197402,3.3199999999999994,0.0332746149489367,0.004,0.0
5genome-fna,4,jellyfish,4,0.686,0.007999999999999957,3.316,0.07128534211182534,0.004,0.0
5genome-fna,4,jellyfish,8,0.606,0.00489897948556636,3.3896,0.03866574711550266,0.004,0.0
5genome-fna,31,jellyfish,1,14.606,0.06499230723708758,440.668,0.0,0.004,0.0
5genome-fna,31,jellyfish,4,4.644,0.0922171350671878,442.2784,0.006499230723717411,0.004,0.0
5genome-fna,31,jellyfish,8,2.756,0.24450766859139614,444.448,0.0066932802122638,0.004,0.0
archaeal-viruses-82-fna,4,mercat2,1,1.768,0.05192301994298872,278.2224,0.3189342251938559,6.728,0.0
archaeal-viruses-82-fna,4,mercat2,4,0.93,0.054772255750516606,278.7896,0.4772695674354393,6.728,0.0
archaeal-viruses-82-fna,4,mercat2,8,0.898,0.09064215354899728,279.1368,0.1699016185914668,6.728,0.0
archaeal-viruses-82-fna,31,mercat2,1,2.224,0.04317406628984577,268.4912,0.44634981796792456,5.604,0.0
archaeal-viruses-82-fna,31,mercat2,4,1.0939999999999999,0.04715930449020633,268.84080000000006,0.389226103955013,5.604,0.0
archaeal-viruses-82-fna,31,mercat2,8,0.9119999999999999,0.07652450587883594,268.7296,0.26818023789981416,5.604,0.0
archaeal-viruses-82-fna,4,kmc,1,0.0327656,0.003930896773002313,27.6624,0.9441884557650555,0.0,0.0
archaeal-viruses-82-fna,4,kmc,4,0.0249982,0.0037251820572959914,25.956,0.4465404796880119,0.0,0.0
archaeal-viruses-82-fna,4,kmc,8,0.0249104,0.004813795782955484,25.936,0.07239889501919305,0.0,0.0
archaeal-viruses-82-fna,31,kmc,1,0.6902236,0.01937980699181494,108.07919999999999,0.012749901960407806,4.0,0.0
archaeal-viruses-82-fna,31,kmc,4,0.31725539999999997,0.018121760693707443,108.4136,0.03052605444534538,4.0,0.0
archaeal-viruses-82-fna,31,kmc,8,0.2762254,0.008155316930690059,108.852,0.053903617689353304,4.0,0.0
archaeal-viruses-82-fna,4,jellyfish,1,0.20800000000000002,0.007483314773547878,3.3576,0.012547509713086508,0.008,0.0
archaeal-viruses-82-fna,4,jellyfish,4,0.21400000000000002,0.00489897948556636,3.3936,0.05716502427183956,0.008,0.0
archaeal-viruses-82-fna,4,jellyfish,8,0.182,0.009797958971132715,3.3560000000000003,0.04126015026632844,0.008,0.0
